PIA1.93
09 Mar 2020	17:44
PIEZO TYPE	PI 15 um
COMMENTS	
SCAN TYPE	Z scan at fixed X	X scan at fixed Z	Z scan at fixed X	Z scan at fixed X	Z scan at fixed X	X scan at fixed Z	Z scan at fixed X
VERTICAL WAVEFORM	custom
LATERAL WAVEFORM	custom
SCAN STEPS	Down	Front	Down	Pause	Up	Back	Down
SCAN SPEED [nm/sec]	125000	125000	125000	0	125000	250000	250000
PAUSE [sec]	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CHANNELS	vertical deflection, lateral deflection
NUMBER OF FORCE CURVES	1
POINTS PER CURVE	3584
SCAN RATE [Hz]	0.833328	1.249988	12.498750	1.000000	0.480769	2.499975	2.500000
TRIGGER TYPE	no trigger
CANTILEVER NAME	
CANTILEVER TYPE	0
RESONANT FREQUENCY	0.000000
VERTICAL SPRING CONSTANT [N/m]	0.000000
VERTICAL CALIBRATION COEFFICIENT [µN/V]	1.000000
OPTIC SENSOR FORCE-VOLTAGE RELATION [µN]	0+(-3.464847548173025E+3*x^0)+(4.166399346689978E+3*x^1)+(-4.272509255274562E+3*x^2)+(3.126702697620634E+3*x^3)+(-1.353651158969758E+3*x^4)+(3.443961871035622E+2*x^5)+(-4.749887193466130E+1*x^6)+(2.766192854606011E+0*x^7)
FRAME RATE [Hz]	29.999985
NUMBER OF FRAMES	36	23	2	29	62	12	12
PIEZO Z [nm]	PIEZO X [nm]	Time [s]	VERTICAL DEF	LATERAL DEF	AUX DEF
179248.15625000	200005.48437500	0.63406032	3.00815582	-0.07633209	NaN
179541.12500000	200005.48437500	0.63640487	3.00457001	-0.07217407	NaN
179834.09375000	200005.48437500	0.63874948	3.00735474	-0.07751465	NaN
180127.06250000	200005.48437500	0.64109403	3.00960541	-0.07381439	NaN
180420.03125000	200005.48437500	0.64343858	3.01025391	-0.08529663	NaN
180713.00000000	200005.48437500	0.64578319	3.01033020	-0.08243561	NaN
181005.98437500	200005.48437500	0.64812773	3.00922394	-0.07591248	NaN
181298.93750000	200005.48437500	0.65047234	3.00960541	-0.07312775	NaN
181591.90625000	200005.48437500	0.65281689	3.00952911	-0.07282257	NaN
181884.87500000	200005.48437500	0.65516144	3.00609589	-0.07919312	NaN
182177.84375000	200005.48437500	0.65750605	3.01296234	-0.07423401	NaN
182470.82812500	200005.48437500	0.65985060	3.01197052	-0.07797241	NaN
182763.79687500	200005.48437500	0.66219521	3.01166534	-0.07614136	NaN
183056.75000000	200005.48437500	0.66453975	3.01185608	-0.08617401	NaN
183349.73437500	200005.48437500	0.66688430	3.01193237	-0.08087158	NaN
183642.71875000	200005.48437500	0.66922891	3.01101685	-0.07091522	NaN
183935.68750000	200005.48437500	0.67157346	3.01021576	-0.07453918	NaN
184228.65625000	200005.48437500	0.67391807	3.01086426	-0.08052826	NaN
184521.62500000	200005.48437500	0.67626262	3.01425934	-0.07156372	NaN
184814.59375000	200005.48437500	0.67860717	3.01105499	-0.07865906	NaN
185107.56250000	200005.48437500	0.68095177	3.01044464	-0.07522583	NaN
185400.53125000	200005.48437500	0.68329632	3.01124573	-0.08213043	NaN
185693.51562500	200005.48437500	0.68564093	3.01074982	-0.08407593	NaN
185986.46875000	200005.48437500	0.68798548	3.01048279	-0.07617950	NaN
186279.43750000	200005.48437500	0.69033003	3.00865173	-0.07236481	NaN
